t_s,i_a,soc,vp_v,ocv_v,vt_v
8677.0,0.0,0.7816666666664549,-2.8051639406501438e-11,3.795799004497471,3.7957990045255228
8678.0,0.0,0.7816666666664549,-2.741410214726277e-11,3.795799004497471,3.795799004524885
8679.0,0.0,0.7816666666664549,-2.6791054371188614e-11,3.795799004497471,3.795799004524262
8680.0,0.0,0.7816666666664549,-2.618216677184342e-11,3.795799004497471,3.795799004523653
8681.0,0.0,0.7816666666664549,-2.5587117527028794e-11,3.795799004497471,3.795799004523058
8682.0,0.0,0.7816666666664549,-2.5005592128687232e-11,3.795799004497471,3.7957990045224768
8683.0,0.0,0.7816666666664549,-2.4437283216671612e-11,3.795799004497471,3.7957990045219083
8684.0,0.0,0.7816666666664549,-2.3881890416292713e-11,3.795799004497471,3.7957990045213528
8685.0,0.0,0.7816666666664549,-2.3339120179558787e-11,3.795799004497471,3.79579900452081
8686.0,0.0,0.7816666666664549,-2.280868563002336e-11,3.795799004497471,3.79579900452028
8687.0,0.0,0.7816666666664549,-2.2290306411159194e-11,3.795799004497471,3.795799004519761
8688.0,0.0,0.7816666666664549,-2.17837085381783e-11,3.795799004497471,3.795799004519255
8689.0,0.0,0.7816666666664549,-2.1288624253219704e-11,3.795799004497471,3.7957990045187597
8690.0,0.0,0.7816666666664549,-2.0804791883828347e-11,3.795799004497471,3.7957990045182757
8691.0,0.0,0.7816666666664549,-2.033195570465043e-11,3.795799004497471,3.7957990045178027
8692.0,0.0,0.7816666666664549,-1.986986580227201e-11,3.795799004497471,3.795799004517341
8693.0,0.0,0.7816666666664549,-1.9418277943129466e-11,3.795799004497471,3.7957990045168892
8694.0,0.0,0.7816666666664549,-1.8976953444421978e-11,3.795799004497471,3.795799004516448
8695.0,0.0,0.7816666666664549,-1.8545659047957843e-11,3.795799004497471,3.7957990045160166
8696.0,0.0,0.7816666666664549,-1.8124166796867893e-11,3.795799004497471,3.795799004515595
8697.0,0.0,0.7816666666664549,-1.7712253915120896e-11,3.795799004497471,3.795799004515183
8698.0,0.0,0.7816666666664549,-1.730970268977724e-11,3.795799004497471,3.7957990045147807
8699.0,0.0,0.7816666666664549,-1.6916300355918665e-11,3.795799004497471,3.7957990045143872
8700.0,0.0,0.7816666666664549,-1.653183898419324e-11,3.795799004497471,3.7957990045140027
8701.0,0.0,0.7816666666664549,-1.6156115370916122e-11,3.795799004497471,3.795799004513627
8702.0,0.0,0.7816666666664549,-1.578893093066803e-11,3.795799004497471,3.79579900451326
8703.0,0.0,0.7816666666664549,-1.5430091591334666e-11,3.795799004497471,3.795799004512901
8704.0,0.0,0.7816666666664549,-1.5079407691531605e-11,3.795799004497471,3.7957990045125505
8705.0,0.0,0.7816666666664549,-1.4736693880360432e-11,3.795799004497471,3.7957990045122076
8706.0,0.0,0.7816666666664549,-1.4401769019443149e-11,3.795799004497471,3.795799004511873
8707.0,0.0,0.7816666666664549,-1.4074456087183077e-11,3.795799004497471,3.7957990045115455
8708.0,0.0,0.7816666666664549,-1.3754582085201643e-11,3.795799004497471,3.7957990045112258
8709.0,0.0,0.7816666666664549,-1.3441977946901606e-11,3.795799004497471,3.795799004510913
8710.0,0.0,0.7816666666664549,-1.3136478448108389e-11,3.795799004497471,3.7957990045106076
8711.0,0.0,0.7816666666664549,-1.283792211974229e-11,3.795799004497471,3.7957990045103087
8712.0,0.0,0.7816666666664549,-1.254615116247542e-11,3.795799004497471,3.795799004510017
8713.0,0.0,0.7816666666664549,-1.226101136332825e-11,3.795799004497471,3.795799004509732
8714.0,0.0,0.7816666666664549,-1.19823520141617e-11,3.795799004497471,3.7957990045094534
8715.0,0.0,0.7816666666664549,-1.171002583202166e-11,3.795799004497471,3.795799004509181
8716.0,0.0,0.7816666666664549,-1.1443888881293896e-11,3.795799004497471,3.7957990045089147
8717.0,0.0,0.7816666666664549,-1.1183800497628126e-11,3.795799004497471,3.795799004508655
8718.0,0.0,0.7816666666664549,-1.0929623213591124e-11,3.795799004497471,3.7957990045084005
8719.0,0.0,0.7816666666664549,-1.0681222686009507e-11,3.795799004497471,3.795799004508152
8720.0,0.0,0.7816666666664549,-1.0438467624963837e-11,3.795799004497471,3.7957990045079093
8721.0,0.0,0.7816666666664549,-1.0201229724396477e-11,3.795799004497471,3.795799004507672
8722.0,0.0,0.7816666666664549,-9.969383594296558e-12,3.795799004497471,3.7957990045074403
8723.0,0.0,0.7816666666664549,-9.74280669442618e-12,3.795799004497471,3.795799004507214
8724.0,0.0,0.7816666666664549,-9.521379269552858e-12,3.795799004497471,3.7957990045069923
8725.0,0.0,0.7816666666664549,-9.30498428615393e-12,3.795799004497471,3.795799004506776
8726.0,0.0,0.7816666666664549,-9.093507370559522e-12,3.795799004497471,3.7957990045065646
8727.0,0.0,0.7816666666664549,-8.886836748501351e-12,3.795799004497471,3.7957990045063577
